"start_time",2:30PM
"#_inside_plot",0
"#_outside_plot",0
"extra_monarchs",0
"common_ramets",10
"common_eggs",0
"common_1instar",0
"common_2instar",0
"common_3instar",0
"common_4instar",0
"common_5instar",0
"swamp_ramets",0
"swamp_eggs",0
"swamp_1instar",0
"swamp_2instar",0
"swamp_3instar",0
"swamp_4instar",0
"swamp_5instar",0
"butterfly_ramets",2
"butterfly_eggs",0
"butterfly_1instar",0
"butterfly_2instar",0
"butterfly_3instar",0
"butterfly_4instar",0
"butterfly_5instar",0
"palmer_amaranth",0