"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"white clover",110,0,0,25,45
"canada thistle",8,2,2,0,0
"red clover",11,5,0,0,0
"yellow coneflower",15,0,5,1,0
"ox-eye daisy",2,0,0,0,0
"wild bergamot",2,0,16,0,0
"common cinquefoil",40,0,0,0,15
"black medic",5,0,0,0,0
"black eyed susan",0,1,15,0,0
"yellow sweet clover",0,8,2,6,0
"musk thistle",0,30,0,1,0
"bladder campion",0,80,0,0,0
"pennsylvania smartweed",0,0,8,0,0