"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",1,0,1,4,1,2,2
"swamp milkweed ramet",9,5,1,0,1,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"yellow coneflower",110,95,150,110,140,230,210
"ox eye sunflower",4,9,13,35,50,45,30
"wild bergamot",6,10,49,10,41,15,16
"catnip",93,220,55,0,31,65,0
"white clover",35,0,0,0,0,0,0
"hoary vervain",1,0,0,2,2,2,1
"canada milk vetch",4,0,0,0,0,0,0
"black medic",10,10,0,0,0,0,0
"virginia mountain mint",0,0,6,0,0,0,0
"canada thistle",0,0,0,0,41,50,70